TEAM_ID,MISSION_TIME,PACKET_COUNT,ALTITUDE,PRESSURE,TEMPERATURE,VOLTAGE,ROLL,PITCH,YAW,GPS_LAT,GPS_LON,GPS_ALT,STATE
TEAM,1,1,10,1,28.2,12.1,0.1,1.0,12.1,-6.2000,106.8000,10,LAUNCH
TEAM,2,2,18,2,28.5,12.0,0.2,1.4,12.5,-6.2001,106.8001,18,LAUNCH
TEAM,3,3,27,3,28.7,12.0,0.3,1.8,12.9,-6.2002,106.8002,27,ASCENT
TEAM,4,4,36,4,29.1,11.9,0.4,2.2,13.3,-6.2003,106.8003,36,ASCENT
TEAM,5,5,52,5,29.4,11.9,0.5,2.6,13.7,-6.2004,106.8004,52,ASCENT
TEAM,6,6,68,6,29.8,11.8,0.6,3.0,14.1,-6.2005,106.8005,68,ASCENT
TEAM,7,7,85,7,30.1,11.8,0.7,3.4,14.5,-6.2006,106.8006,85,ASCENT
TEAM,8,8,103,8,30.5,11.7,0.8,3.8,14.9,-6.2007,106.8007,103,FLIGHT
TEAM,9,9,124,9,31.0,11.7,0.9,4.2,15.3,-6.2008,106.8008,124,FLIGHT
TEAM,10,10,147,10,31.4,11.6,1.0,4.6,15.7,-6.2009,106.8009,147,FLIGHT
TEAM,11,11,171,11,31.8,11.6,1.1,5.0,16.1,-6.2010,106.8010,171,FLIGHT
TEAM,12,12,196,12,32.2,11.5,1.2,5.4,16.5,-6.2011,106.8011,196,FLIGHT
TEAM,13,13,222,13,32.7,11.5,1.3,5.8,16.9,-6.2012,106.8012,222,FLIGHT
TEAM,14,14,249,14,33.1,11.4,1.4,6.2,17.3,-6.2013,106.8013,249,FLIGHT
TEAM,15,15,277,15,33.6,11.4,1.5,6.6,17.7,-6.2014,106.8014,277,FLIGHT
TEAM,16,16,305,16,34.0,11.3,1.6,7.0,18.1,-6.2015,106.8015,305,FLIGHT
TEAM,17,17,334,17,34.5,11.3,1.7,7.4,18.5,-6.2016,106.8016,334,COMPLETE

